Site,Reference,STORD,ALT,DFS,LAT,LONG,CATA,ALK,BNKW,BNKH,COND,PRIF,RDEP,RVEL,REBE,REBO,RECO,REPE,REGR,RBED,RBOU,RCOB,RPEB,RGRA,SUBS,VD,PRRR
1-T,1,5,500,77,3519.00,14857.00,721.2,34.1,26,1.5,90,20,21,0.589,10,30,30,10,10,5,35,35,15,5,20,17,13
2-T,1,4,500,75,3519.00,14857.00,475.7,32,35,1.5,64,30,12,0.422,0,25,30,30,10,0,30,30,30,10,20,19,15
3-T,1,4,580,66,3521.00,14853.00,363.3,32,11,0.5,59,30,16,0.417,10,40,30,15,5,5,40,30,20,5,19,19,12
5-T,1,4,700,51,3525.00,14850.00,323.2,42,16,1.5,55,15,10,0.579,20,20,27,15,10,20,10,30,20,10,17,19,13
6-T,1,3,1000,18,3825.00,14850.00,111.6,24,10,1,31,40,16,0.52,0,15,35,25,15,0,15,40,30,10,18,18,12
7-T,1,2,590,10,3521.00,14855.00,18.3,80,9.5,2.5,120,15,9,0.267,0,10,25,25,10,0,5,30,30,20,16,11,10
8-T,1,4,670,9,3519.00,14851.00,38.9,40,6,2,78,30,14,0.417,0,10,30,30,15,0,10,30,40,10,20,15,14
9-T,1,3,840,4,3522.00,14850.00,15.3,24,1.7,0.3,43,30,8,0.235,0,0,10,40,20,0,0,10,50,25,15,10,11
10-T,1,4,550,36,3523.00,14856.00,231.3,33.3,15,0.6,97,20,12,0.384,10,20,20,5,15,0,10,40,30,10,17,17,9
12-T,1,4,610,21,3525.00,14857.00,188.2,70,18,1.2,84,15,15,0.358,0,5,10,15,20,0,20,30,20,10,10,13,8
15-T,1,3,645,10,3526.00,14856.00,53.1,72,14.7,1.2,78,25,10,0.316,0,3,20,15,20,0,3,40,20,17,11,11,8
16-T,1,2,840,4,3529.00,14854.00,8.8,82,4,1,84,11,8,0.284,0,10,10,10,20,0,15,15,15,20,15,13,11
17-T,1,3,660,14,3527.00,14858.00,28.8,52,9.8,2,60,30,16,0.451,20,20,30,10,10,5,15,20,25,15,15,15,11
18-T,1,3,970,7,3830.00,14855.00,13.4,44,5.3,0.6,52,30,15,0.267,0,20,20,10,20,0,15,25,10,20,15,15,13
19-T,1,5,575,43,3532.00,14905.00,678,66,30,1.8,101,20,18,0.336,0,5,10,10,35,0,5,25,20,25,10,11,8
20-T,1,5,615,37,3535.00,14904.00,658.4,90,28,0.8,94,25,17,0.435,5,10,10,10,25,10,20,30,20,10,11,13,5
21-T,1,4,660,44,3940.00,14905.00,237,44,35,2.5,116,12,12,0.386,0,10,30,25,15,0,5,40,25,20,14,16,11
23-T,1,4,890,27,3550.00,14903.00,138,32.9,4.8,1.5,79,20,14,0.588,10,30,25,15,10,5,25,40,10,10,17,20,13
24-T,1,4,1095,15,3553.00,14900.00,66.3,50,3.6,0.5,54,8,14,0.318,10,20,20,20,10,15,15,25,15,15,15,16,8
25-T,1,4,1145,10,3551.00,14857.00,39.2,30,3.3,0.3,40,5,22,0.332,50,10,5,5,10,45,20,10,10,5,8,11,7
26-T,1,4,645,33,3937.00,14904.00,366,74,18.5,0.9,81,15,16,0.508,0,10,20,20,20,0,15,35,25,10,13,15,10
28-T,1,4,860,19,3542.00,14900.00,192,58,7.6,0.5,70,15,21,0.578,0,35,25,10,10,0,30,30,20,10,17,16,12
29-T,1,2,965,11,3545.00,14900.00,21.2,54,3.6,0.7,67,30,7,0.379,5,20,35,20,10,0,25,40,25,5,19,14,10
30-T,1,3,655,7,3536.00,14902.00,31.8,90,17,1.5,96,12,9,0.284,0,5,25,20,20,0,10,30,20,10,10,13,8
31-T,1,1,1075,3,3535.00,14857.00,3.9,60,1,0.5,81,10,14,0.194,0,0,0,10,35,0,0,0,30,30,11,10,11
35-T,1,2,930,9,3542.00,14859.00,15.5,48,4.7,0.8,58,30,10,0.245,20,25,25,10,10,20,20,30,10,10,16,16,14
