Site,Reference,Reference
1-T,1,1
2-T,1,1
3-T,1,1
5-T,1,1
6-T,1,1
7-T,1,1
8-T,1,1
9-T,1,1
10-T,1,1
12-T,1,1
15-T,1,1
16-T,1,1
17-T,1,1
18-T,1,1
19-T,1,1
20-T,1,1
21-T,1,1
23-T,1,1
24-T,1,1
25-T,1,1
26-T,1,1
28-T,1,1
29-T,1,1
30-T,1,1
31-T,1,1
35-T,1,1
37-T,1,1
38-T,1,1
41-T,1,1
44-T,1,1
45-T,1,1
48-T,1,1
83-T,1,1
89-T,1,1
94-T,1,1
96-T,1,1
97-T,1,1
98-T,1,1
99-T,1,1
101-T,1,1
102-T,1,1
103-T,1,1
104-T,1,1
106-T,1,1
108-T,1,1
110-T,1,1
116-T,1,1
123-T,1,1
126-T,1,1
129-T,1,1
130-T,1,1
131-T,1,1
132-T,1,1
133-T,1,1
134-T,1,1
135-T,1,1
136-T,1,1
137-T,1,1
138-T,1,1
139-T,1,1
140-T,1,1
141-T,1,1
144-T,1,1
146-T,1,1
150-T,1,1
153-T,1,1
154-T,1,1
157-T,1,1
158-T,1,1
159-T,1,1
160-T,1,1
162-T,1,1
163-T,1,1
164-T,1,1
165-T,1,1
166-T,1,1
169-T,1,1
170-T,1,1
172-T,1,1
173-T,1,1
174-T,1,1
176-T,1,1
179-T,1,1
180-T,1,1
181-T,1,1
182-T,1,1
185-T,1,1
47-D0,0,0
61-D0,0,0
119-D0,0,0
122-D0,0,0
133-D0,0,0
136-D0,0,0
148-D0,0,0
151-D0,0,0
152-D0,0,0
286-D0,0,0
290-D0,0,0
315-D0,0,0
316-D0,0,0
345-D0,0,0
350-D0,0,0
435-D0,0,0
731-D0,0,0
732-D0,0,0
733-D0,0,0
734-D0,0,0
47-D1,0,0
61-D1,0,0
119-D1,0,0
122-D1,0,0
133-D1,0,0
136-D1,0,0
148-D1,0,0
151-D1,0,0
152-D1,0,0
286-D1,0,0
290-D1,0,0
315-D1,0,0
316-D1,0,0
345-D1,0,0
350-D1,0,0
435-D1,0,0
731-D1,0,0
732-D1,0,0
733-D1,0,0
734-D1,0,0
47-D2,0,0
61-D2,0,0
119-D2,0,0
122-D2,0,0
133-D2,0,0
136-D2,0,0
148-D2,0,0
151-D2,0,0
152-D2,0,0
286-D2,0,0
290-D2,0,0
315-D2,0,0
316-D2,0,0
345-D2,0,0
350-D2,0,0
435-D2,0,0
731-D2,0,0
732-D2,0,0
733-D2,0,0
734-D2,0,0
47-D3,0,0
61-D3,0,0
119-D3,0,0
122-D3,0,0
133-D3,0,0
136-D3,0,0
148-D3,0,0
151-D3,0,0
152-D3,0,0
286-D3,0,0
290-D3,0,0
315-D3,0,0
316-D3,0,0
345-D3,0,0
350-D3,0,0
435-D3,0,0
731-D3,0,0
732-D3,0,0
733-D3,0,0
734-D3,0,0
