Site,Reference,Reference
105-T,1,1
106-T,1,1
107-T,1,1
108-T,1,1
109-T,1,1
112-T,1,1
113-T,1,1
303-T,1,1
304-T,1,1
306-T,1,1
307-T,1,1
309-T,1,1
311-T,1,1
312-T,1,1
313-T,1,1
400-T,1,1
401-T,1,1
402-T,1,1
403-T,1,1
404-T,1,1
405-T,1,1
406-T,1,1
412-T,1,1
504-T,1,1
507-T,1,1
601-T,1,1
602-T,1,1
604-T,1,1
611-T,1,1
612-T,1,1
613-T,1,1
615-T,1,1
616-T,1,1
701-T,1,1
703-T,1,1
704-T,1,1
705-T,1,1
706-T,1,1
712-T,1,1
716-T,1,1
1201-T,1,1
1206-T,1,1
1210-T,1,1
1211-T,1,1
1212-T,1,1
1214-T,1,1
1215-T,1,1
1216-T,1,1
1302-T,1,1
1304-T,1,1
1305-T,1,1
1306-T,1,1
1307-T,1,1
1309-T,1,1
1310-T,1,1
1311-T,1,1
1312-T,1,1
1315-T,1,1
1316-T,1,1
1317-T,1,1
1318-T,1,1
1320-T,1,1
1321-T,1,1
1322-T,1,1
1327-T,1,1
1331-T,1,1
1332-T,1,1
1405-T,1,1
1407-T,1,1
1408-T,1,1
1412-T,1,1
1415-T,1,1
1500-T,1,1
1501-T,1,1
1502-T,1,1
1503-T,1,1
1504-T,1,1
1505-T,1,1
1507-T,1,1
1510-T,1,1
1511-T,1,1
1512-T,1,1
1513-T,1,1
1600-T,1,1
1604-T,1,1
1605-T,1,1
1607-T,1,1
1611-T,1,1
1612-T,1,1
1613-T,1,1
1614-T,1,1
2200-T,1,1
2201-T,1,1
2202-T,1,1
2205-T,1,1
2400-T,1,1
2410-T,1,1
2414-T,1,1
2500-T,1,1
2501-T,1,1
2502-T,1,1
2504-T,1,1
2505-T,1,1
2506-T,1,1
2507-T,1,1
2512-T,1,1
2513-T,1,1
2514-T,1,1
2600-T,1,1
2616-T,1,1
2618-T,1,1
2619-T,1,1
5100-T,1,1
5101-T,1,1
5102-T,1,1
5103-T,1,1
5104-T,1,1
5105-T,1,1
5107-T,1,1
5108-T,1,1
5110-T,1,1
5112-T,1,1
5113-T,1,1
5114-T,1,1
104-D0,0,0
110-D0,0,0
114-D0,0,0
115-D0,0,0
200-D0,0,0
302-D0,0,0
305-D0,0,0
308-D0,0,0
310-D0,0,0
503-D0,0,0
610-D0,0,0
700-D0,0,0
702-D0,0,0
707-D0,0,0
708-D0,0,0
714-D0,0,0
1203-D0,0,0
1207-D0,0,0
1208-D0,0,0
1213-D0,0,0
1303-D0,0,0
1313-D0,0,0
1403-D0,0,0
1406-D0,0,0
1410-D0,0,0
1413-D0,0,0
1414-D0,0,0
1508-D0,0,0
1509-D0,0,0
1514-D0,0,0
1515-D0,0,0
1601-D0,0,0
1602-D0,0,0
1603-D0,0,0
1606-D0,0,0
1609-D0,0,0
1615-D0,0,0
2208-D0,0,0
5106-D0,0,0
5109-D0,0,0
104-D1,0,0
110-D1,0,0
114-D1,0,0
115-D1,0,0
200-D1,0,0
302-D1,0,0
305-D1,0,0
308-D1,0,0
310-D1,0,0
503-D1,0,0
610-D1,0,0
700-D1,0,0
702-D1,0,0
707-D1,0,0
708-D1,0,0
714-D1,0,0
1203-D1,0,0
1207-D1,0,0
1208-D1,0,0
1213-D1,0,0
1303-D1,0,0
1313-D1,0,0
1403-D1,0,0
1406-D1,0,0
1410-D1,0,0
1413-D1,0,0
1414-D1,0,0
1508-D1,0,0
1509-D1,0,0
1514-D1,0,0
1515-D1,0,0
1601-D1,0,0
1602-D1,0,0
1603-D1,0,0
1606-D1,0,0
1609-D1,0,0
1615-D1,0,0
2208-D1,0,0
5106-D1,0,0
5109-D1,0,0
104-D2,0,0
110-D2,0,0
114-D2,0,0
115-D2,0,0
200-D2,0,0
302-D2,0,0
305-D2,0,0
308-D2,0,0
310-D2,0,0
503-D2,0,0
610-D2,0,0
700-D2,0,0
702-D2,0,0
707-D2,0,0
708-D2,0,0
714-D2,0,0
1203-D2,0,0
1207-D2,0,0
1208-D2,0,0
1213-D2,0,0
1303-D2,0,0
1313-D2,0,0
1403-D2,0,0
1406-D2,0,0
1410-D2,0,0
1413-D2,0,0
1414-D2,0,0
1508-D2,0,0
1509-D2,0,0
1514-D2,0,0
1515-D2,0,0
1601-D2,0,0
1602-D2,0,0
1603-D2,0,0
1606-D2,0,0
1609-D2,0,0
1615-D2,0,0
2208-D2,0,0
5106-D2,0,0
5109-D2,0,0
104-D3,0,0
110-D3,0,0
114-D3,0,0
115-D3,0,0
200-D3,0,0
302-D3,0,0
305-D3,0,0
308-D3,0,0
310-D3,0,0
503-D3,0,0
610-D3,0,0
700-D3,0,0
702-D3,0,0
707-D3,0,0
708-D3,0,0
714-D3,0,0
1203-D3,0,0
1207-D3,0,0
1208-D3,0,0
1213-D3,0,0
1303-D3,0,0
1313-D3,0,0
1403-D3,0,0
1406-D3,0,0
1410-D3,0,0
1413-D3,0,0
1414-D3,0,0
1508-D3,0,0
1509-D3,0,0
1514-D3,0,0
1515-D3,0,0
1601-D3,0,0
1602-D3,0,0
1603-D3,0,0
1606-D3,0,0
1609-D3,0,0
1615-D3,0,0
2208-D3,0,0
5106-D3,0,0
5109-D3,0,0
