Station,Reference,Reference
002-T,1,1
003-T,1,1
004-T,1,1
005-T,1,1
006-T,1,1
007-T,1,1
008-T,1,1
012-T,1,1
013-T,1,1
014-T,1,1
019-T,1,1
022-T,1,1
023-T,1,1
025-T,1,1
026-T,1,1
028-T,1,1
031-T,1,1
033-T,1,1
034-T,1,1
035-T,1,1
037-T,1,1
038-T,1,1
039-T,1,1
040-T,1,1
041-T,1,1
042-T,1,1
043-T,1,1
044-T,1,1
045-T,1,1
046-T,1,1
047-T,1,1
048-T,1,1
049-T,1,1
050-T,1,1
056-T,1,1
059-T,1,1
061-T,1,1
062-T,1,1
063-T,1,1
064-T,1,1
067-T,1,1
068-T,1,1
069-T,1,1
071-T,1,1
073-T,1,1
074-T,1,1
075-T,1,1
076-T,1,1
120-T,1,1
121-T,1,1
123-T,1,1
131-T,1,1
132-T,1,1
133-T,1,1
134-T,1,1
136-T,1,1
137-T,1,1
138-T,1,1
139-T,1,1
141-T,1,1
144-T,1,1
154-T,1,1
156-T,1,1
157-T,1,1
167-T,1,1
168-T,1,1
170-T,1,1
176-T,1,1
177-T,1,1
178-T,1,1
179-T,1,1
182-T,1,1
183-T,1,1
185-T,1,1
186-T,1,1
187-T,1,1
190-T,1,1
191-T,1,1
192-T,1,1
193-T,1,1
194-T,1,1
195-T,1,1
196-T,1,1
198-T,1,1
199-T,1,1
200-T,1,1
202-T,1,1
203-T,1,1
204-T,1,1
205-T,1,1
206-T,1,1
208-T,1,1
209-T,1,1
210-T,1,1
211-T,1,1
212-T,1,1
213-T,1,1
251-T,1,1
252-T,1,1
253-T,1,1
254-T,1,1
255-T,1,1
257-T,1,1
258-T,1,1
259-T,1,1
260-T,1,1
261-T,1,1
262-T,1,1
265-T,1,1
266-T,1,1
267-T,1,1
268-T,1,1
269-T,1,1
270-T,1,1
271-T,1,1
272-T,1,1
273-T,1,1
275-T,1,1
015-D0,0,0
017-D0,0,0
018-D0,0,0
020-D0,0,0
021-D0,0,0
027-D0,0,0
036-D0,0,0
057-D0,0,0
058-D0,0,0
060-D0,0,0
065-D0,0,0
066-D0,0,0
072-D0,0,0
122-D0,0,0
126-D0,0,0
127-D0,0,0
128-D0,0,0
129-D0,0,0
130-D0,0,0
135-D0,0,0
142-D0,0,0
143-D0,0,0
150-D0,0,0
155-D0,0,0
162-D0,0,0
163-D0,0,0
169-D0,0,0
171-D0,0,0
173-D0,0,0
174-D0,0,0
175-D0,0,0
181-D0,0,0
188-D0,0,0
189-D0,0,0
197-D0,0,0
207-D0,0,0
256-D0,0,0
263-D0,0,0
264-D0,0,0
274-D0,0,0
015-D1,0,0
017-D1,0,0
018-D1,0,0
020-D1,0,0
021-D1,0,0
027-D1,0,0
036-D1,0,0
057-D1,0,0
058-D1,0,0
060-D1,0,0
065-D1,0,0
066-D1,0,0
072-D1,0,0
122-D1,0,0
126-D1,0,0
127-D1,0,0
128-D1,0,0
129-D1,0,0
130-D1,0,0
135-D1,0,0
142-D1,0,0
143-D1,0,0
150-D1,0,0
155-D1,0,0
162-D1,0,0
163-D1,0,0
169-D1,0,0
171-D1,0,0
173-D1,0,0
174-D1,0,0
175-D1,0,0
181-D1,0,0
188-D1,0,0
189-D1,0,0
197-D1,0,0
207-D1,0,0
256-D1,0,0
263-D1,0,0
264-D1,0,0
274-D1,0,0
015-D2,0,0
017-D2,0,0
018-D2,0,0
020-D2,0,0
021-D2,0,0
027-D2,0,0
036-D2,0,0
057-D2,0,0
058-D2,0,0
060-D2,0,0
065-D2,0,0
066-D2,0,0
072-D2,0,0
122-D2,0,0
126-D2,0,0
127-D2,0,0
128-D2,0,0
129-D2,0,0
130-D2,0,0
135-D2,0,0
142-D2,0,0
143-D2,0,0
150-D2,0,0
155-D2,0,0
162-D2,0,0
163-D2,0,0
169-D2,0,0
171-D2,0,0
173-D2,0,0
174-D2,0,0
175-D2,0,0
181-D2,0,0
188-D2,0,0
189-D2,0,0
197-D2,0,0
207-D2,0,0
256-D2,0,0
263-D2,0,0
264-D2,0,0
274-D2,0,0
015-D3,0,0
017-D3,0,0
018-D3,0,0
020-D3,0,0
021-D3,0,0
027-D3,0,0
036-D3,0,0
057-D3,0,0
058-D3,0,0
060-D3,0,0
065-D3,0,0
066-D3,0,0
072-D3,0,0
122-D3,0,0
126-D3,0,0
127-D3,0,0
128-D3,0,0
129-D3,0,0
130-D3,0,0
135-D3,0,0
142-D3,0,0
143-D3,0,0
150-D3,0,0
155-D3,0,0
162-D3,0,0
163-D3,0,0
169-D3,0,0
171-D3,0,0
173-D3,0,0
174-D3,0,0
175-D3,0,0
181-D3,0,0
188-D3,0,0
189-D3,0,0
197-D3,0,0
207-D3,0,0
256-D3,0,0
263-D3,0,0
264-D3,0,0
274-D3,0,0
