,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
APB-19,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
APB-5,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
BRO-10,BRO-10,BRO-196,BRO-245,NA,NA,NA,NA,NA,NA,NA
BRO-118,SXM-30,SXM-216,GRN-28,BRO-21,NA,NA,NA,NA,NA,NA
BRO-119,SXM-216,SXM-30,SXM-151,BRO-21,NA,NA,NA,NA,NA,NA
BRO-129,BRO-129,SXM-40,SHL-49,BRO-16,SXM-107,NA,NA,NA,NA,NA
BRO-135,BRO-243,BRO-42,BRO-172,NA,NA,NA,NA,NA,NA,NA
BRO-142,BRO-129,SXM-40,BRO-243,NA,NA,NA,NA,NA,NA,NA
BRO-149,BRO-129,SXM-40,BRO-16,SHL-49,NA,NA,NA,NA,NA,NA
BRO-151,BRO-129,SXM-40,SXM-281,NA,NA,NA,NA,NA,NA,NA
BRO-154,SXM-63,SXM-216,BRO-196,SXM-30,NA,NA,NA,NA,NA,NA
BRO-156,SXM-281,BRO-57,SXM-40,NA,NA,NA,NA,NA,NA,NA
BRO-16,BRO-16,BRO-129,JOS-34,NA,NA,NA,NA,NA,NA,NA
BRO-171,BRO-243,SXM-63,SXM-30,NA,NA,NA,NA,NA,NA,NA
BRO-172,BRO-172,BRO-57,BRO-245,NA,NA,NA,NA,NA,NA,NA
BRO-196,BRO-196,BRO-10,SXM-63,NA,NA,NA,NA,NA,NA,NA
BRO-209,BRO-196,SXM-63,NA,NA,NA,NA,NA,NA,NA,NA
BRO-21,BRO-21,SXM-151,SXM-216,GRN-28,NA,NA,NA,NA,NA,NA
BRO-219,BRO-243,BRO-172,NA,NA,NA,NA,NA,NA,NA,NA
BRO-22,BRO-57,BRO-10,BRO-243,NA,NA,NA,NA,NA,NA,NA
BRO-225,BRO-42,BRO-172,BRO-10,BRO-245,NA,NA,NA,NA,NA,NA
BRO-238,SXM-63,BRO-57,BRO-172,BRO-42,BRO-243,NA,NA,NA,NA,NA
BRO-243,BRO-243,BRO-57,SXM-30,SXM-63,NA,NA,NA,NA,NA,NA
BRO-245,BRO-245,BRO-172,BRO-42,BRO-10,NA,NA,NA,NA,NA,NA
BRO-284,SXM-30,SXM-216,BRO-21,GRN-49,NA,NA,NA,NA,NA,NA
BRO-334,SXM-63,SXM-30,BRO-196,NA,NA,NA,NA,NA,NA,NA
BRO-42,BRO-42,BRO-172,SXM-63,BRO-245,BRO-10,NA,NA,NA,NA,NA
BRO-57,BRO-57,BRO-42,SXM-63,BRO-172,NA,NA,NA,NA,NA,NA
BRO-8,SXM-63,BRO-196,SXM-30,NA,NA,NA,NA,NA,NA,NA
FAL-6,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
FOR-12,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
FOR-2,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
FOR-7,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
FOR-71,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
GRN-101,BRO-21,SXM-151,GRN-28,SXM-216,NA,NA,NA,NA,NA,NA
GRN-16,BRO-196,SXM-63,SXM-216,NA,NA,NA,NA,NA,NA,NA
GRN-20,BRO-196,SXM-63,SXM-30,NA,NA,NA,NA,NA,NA,NA
GRN-27,SXM-30,BRO-196,SXM-63,NA,NA,NA,NA,NA,NA,NA
GRN-28,GRN-28,SXM-30,SXM-216,BRO-21,SXM-151,NA,NA,NA,NA,NA
GRN-47,BRO-129,SXM-40,SXM-107,SHL-49,BRO-243,NA,NA,NA,NA,NA
GRN-49,GRN-49,SXM-63,BRO-10,BRO-245,SXM-30,NA,NA,NA,NA,NA
GRN-50,GRN-28,SXM-30,SXM-216,NA,NA,NA,NA,NA,NA,NA
GRN-65,BRO-57,SXM-281,SXM-40,NA,NA,NA,NA,NA,NA,NA
GRN-66,SXM-40,BRO-57,SXM-281,BRO-172,NA,NA,NA,NA,NA,NA
GRN-7,SXM-63,BRO-196,SXM-30,GRN-49,NA,NA,NA,NA,NA,NA
GRN-73,BRO-57,SXM-40,SXM-281,NA,NA,NA,NA,NA,NA,NA
JOS-1,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
JOS-25,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
JOS-34,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
MCR-13,FOR-2,SHL-49,JOS-25,JOS-34,BRO-16,NA,NA,NA,NA,NA
